ec,SYSNAME,SUBSTRATE,PRODUCT,bin,OxidativeHalf,ReductionHalf
1.14.12.13,"2-halobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating, dehalogenating, decarboxylating)","[""2,4-dichlorobenzoate"", ""2,5-dichlorobenzoate"", ""2,6-dichlorobenzoate"", ""2-amino-4-chlorobenzoate"", ""2-amino-5-chlorobenzoate"", ""2-aminobenzoate"", ""2-bromobenzoate"", ""2-chloro-5-bromobenzoate"", ""2-chlorobenzoate"", ""2-fluorobenzoate"", ""2-hydroxybenzoate"", ""2-iodobenzoate"", ""2-methoxybenzoate"", ""2-methylbenzoate"", ""3,4-dichlorobenzoate"", ""3,5-dichlorobenzoate"", ""3-chlorobenzoate"", ""4-amino-2-chlorobenzoate"", ""4-chlorobenzoate"", ""NADH"", ""O2"", ""anthranilate"", ""benzoate"", ""more""]","[""3,5-cyclohexadiene-1,2-diol"", ""3,5-cyclohexadiene-1,2-diol-1-carboxylic acid"", ""3-chlorocatechol"", ""4-aminocatechol"", ""4-bromocatechol"", ""4-chlorocatechol"", ""?"", ""CO2"", ""Cl-"", ""NAD+"", ""O2"", ""bromide"", ""catechol"", ""chloride"", ""fluoride"", ""iodide"", ""o-cresol""]",0,0,0
1.14.12.14,"2-aminobenzenesulfonate,NADH:oxygen oxidoreductase (2,3-hydroxylating, ammonia-forming)","[""2-Aminobenzenesulfonate"", ""2-aminobenzenesulfonate"", ""4-toluenesulfonate"", ""H+"", ""NADH"", ""O2"", ""benzenesulfonate""]","[""2,3-dihydroxybenzenesulfonate"", ""3-Sulfocatechol"", ""3-sulfocatechol"", ""?"", ""NAD+"", ""NH3""]",0,0,0
1.14.12.15,"benzene-1,4-dicarboxylate,NADH:oxygen oxidoreductase (1,2-hydroxylating)","[""1,4-Dicarboxynaphthalene"", ""2,5-Dicarboxypyridine"", ""H+"", ""NAD(P)H"", ""NADH"", ""O2"", ""more"", ""terephthalate""]","[""(1R,2S)-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate"", ""?"", ""NAD(P)+"", ""NAD+""]",0,0,0
1.14.12.16,"quinolin-2-ol,NADH:oxygen oxidoreductase (5,6-hydroxylating)","[""2-Oxo-1,2-dihydroquinoline"", ""3-Methyl-2-oxo-1,2-dihydroquinoline"", ""6-Hydroxy-2-oxo-1,2-dihydroquinoline"", ""8-Hydroxy-2-oxo-1,2-dihydroquinoline"", ""8-Hydroxyquinoline"", ""NADH"", ""O2"", ""more""]","[""5,6-Dihydro-5,6-dihydroxy-(3-methyl-)2-oxo-1,2-dihydroquinoline"", ""?"", ""NAD+""]",0,0,0
1.14.12.17,"nitric oxide,NAD(P)H:oxygen oxidoreductase","[""2 O2"", ""2 nitric oxide"", ""NAD(P)H"", ""NADH"", ""NADPH"", ""NO"", ""O2"", ""e-"", ""more"", ""nitric oxide""]","[""2 nitrate"", ""?"", ""H+"", ""NAD(P)+"", ""NAD+"", ""NADP+"", ""NO3-"", ""nitrate""]",0,0,0
1.14.12.18,"biphenyl,NADH:oxygen oxidoreductase (2,3-hydroxylating)","[""(3R,4R)-cis-isoflavan-4-ol"", ""(3R,4S)-trans-isoflavan-4-ol"", ""(3S,4R)-trans-isoflavan-4-ol"", ""(3S,4S)-cis-isoflavan-4-ol"", ""2,2',3,3'-tetrachlorobiphenyl"", ""2,2',5,5'-tetrachlorobiphenyl"", ""2,2'-dibromobiphenyl"", ""2,2'-dichlorobiphenyl"", ""2,2'-difluorobiphenyl"", ""2,2'-dihydroxybiphenyl"", ""2,2'-dinitrobiphenyl"", ""2,3',4'-trichlorobiphenyl"", ""2,3',4-trichlorobiphenyl"", ""2,3'-dichlorobiphenyl"", ""2,3,2',3'-tetrachlorobiphenyl"", ""2,3,4'-trichlorobiphenyl"", ""2,4',5-trichlorobiphenyl"", ""2,4'-dichlorobiphenyl"", ""2,4,2',4'-tetrachlorobiphenyl"", ""2,4,4'-trichlorobiphenyl"", ""2,5,2',5'-tetrachlorobiphenyl"", ""2,5,2'-trichlorobiphenyl"", ""2,5,3'-trichlorobiphenyl"", ""2,5,4'-trichlorobiphenyl"", ""2,5-dichlorobiphenyl"", ""2,6',4'-trichlorobiphenyl"", ""2,6-dichlorobiphenyl"", ""2-chlorobiphenyl"", ""2-hydroxy-3,5-dichlorobiphenyl"", ""2-hydroxy-3-chlorobiphenyl"", ""2-hydroxy-5-chlorobiphenyl"", ""3,3'-dichlorobiphenyl"", ""3,4'-dichlorobiphenyl"", ""3,4,4'-trichlorobiphenyl"", ""3,5',4'-trichlorobiphenyl"", ""3-chlorobiphenyl"", ""4,4'-dichlorobiphenyl"", ""4-chlorobiphenyl"", ""4-methylbiphenyl"", ""5,7-dihydroxyflavone"", ""6,7-dihydro-5H-benzocycloheptene"", ""6-hydroxyflavanone"", ""7-hydroxyflavanone"", ""7-hydroxyflavone"", ""?"", ""H+"", ""NAD(P)H"", ""NADH"", ""NADPH"", ""O2"", ""benzene"", ""benzo[a]pyrene"", ""biphenyl"", ""carbazole"", ""dibenzo-p-dioxin"", ""dibenzo-p-dioxine"", ""dibenzofuran"", ""dibenzofurane"", ""diphenylmethane"", ""ethylbenzene"", ""flavone"", ""isoflavone"", ""more"", ""naphthalene"", ""phenanthrene"", ""phenazine"", ""toluene""]","[""(-)-cis-(1R,2S)-dihydroxybenzocycloheptane"", ""(1S,2R)-3-phenylcyclohexa-3,5-diene-1,2-diol"", ""(1S,2R)-dihydroxy-3-phenylcyclohexa-3,5-diene"", ""(3R,4R)-3-(7-oxabicyclo[4.1.0]hepta-1,3,5-trien-2-yl)-3,4-dihydro-2H-chromen-4-ol"", ""(3R,4S)-3-(7-oxabicyclo[4.1.0]hepta-1,3,5-trien-2-yl)-3,4-dihydro-2H-chromen-4-ol"", ""(3S,4R)-3-(7-oxabicyclo[4.1.0]hepta-1,3,5-trien-2-yl)-3,4-dihydro-2H-chromen-4-ol"", ""(3S,4S)-3-(7-oxabicyclo[4.1.0]hepta-1,3,5-trien-2-yl)-3,4-dihydro-2H-chromen-4-ol"", ""1,2-dihydro-1,2-dihydroxyphenazine"", ""2',3'-dihydro-2',3'-cis-dihydroxyflavone"", ""2',3'-dihydro-2',3'-dihydroxy-2,5,4'-trichlorobiphenyl"", ""2',3'-dihydrodiol-4-chlorobiphenyl"", ""2',3'-dihydroxy-2,5-dichlorobiphenyl"", ""2,2',3-trihydroxybiphenyl"", ""2,2',3-trihydroxybiphenyl ether"", ""2,2'-dihydroxy-5-chlorobiphenyl"", ""2,3'-dihydroxy-5-chlorobiphenyl"", ""2,3,2'-trihydroxy-diphenylether"", ""2,3,2'-trihydroxybiphenyl"", ""2,3-catechol"", ""2,3-dihydro-2,3-dihydroxy-2',4,4'-trichlorobiphenyl"", ""2,3-dihydro-dihydroxybiphenyl"", ""2,3-dihydroxy-2',4,4'-trichlorobiphenyl"", ""2,3-dihydroxy-2'-bromobiphenyl"", ""2,3-dihydroxy-2'-chlorobiphenyl"", ""2,3-dihydroxy-2'-fluorobiphenyl"", ""2,3-dihydroxy-2'-nitrobiphenyl"", ""2,3-dihydroxy-3'-chlorobiphenyl"", ""2,3-dihydroxy-4'-chlorobiphenyl"", ""2,3-dihydroxy-4,4'-dichlorobiphenyl"", ""2,6-dichloro-2',3'-dihydro-2',3'-dihydroxybiphenyl"", ""2-(2,3-dihydroxyphenyl)-5,7-dihydroxy-chromen-4-one"", ""2-(2,3-dihydroxyphenyl)-7-hydroxy-chromen-4-one"", ""2-hydroxy-6-oxo-6-[4-methylphenyl]-hexa-2,4-dienoic acid"", ""3,4-dihydro-3,4-dihydroxy-2,2',5,5'-tetrachlorobiphenyl"", ""3,4-dihydro-3,4-dihydroxy-2,2'-dichlorobiphenyl"", ""3,4-dihydro-3,4-dihydroxy-2,5,4'-trichlorobiphenyl"", ""3,4-dihydroxy-1-phenylcyclohexa-1,5-diene"", ""3-chloro-5-(2-chlorophenyl)cyclohexa-3,5-diene-1,2-diol"", ""3-chloro-5-(4-chlorophenyl)cyclohexa-3,5-diene-1,2-diol"", ""3-chloro-6-(3-chlorophenyl)cyclohexa-3,4-diene-1,2-diol"", ""3-hydroxycarbazole"", ""4,5-dihydro-4,5-dihydroxy-2,2',3,3'-tetrachlorobiphenyl"", ""4,5-dihydro-4,5-dihydroxy-2,3,2',3'-tetrachlorobiphenyl"", ""4,5-dihydroxy-1-phenylcyclohexa-1,2-diene"", ""4-chloro-3-(3-chlorophenyl)cyclohexa-3,5-diene-1,2-diol"", ""5',6'-dihydroxy-1'-phenylcyclohexa-1',3'-diene"", ""5,6-dihydro-5,6-dihydroxy-2,2',3,3'-tetrachlorobiphenyl"", ""5,6-dihydroxy-1-phenylcyclohexa-1,3-diene"", ""5,6-dihydroxy-2,2'-difluorobiphenyl"", ""5,6-dihydroxy-3,4'-dichlorobiphenyl"", ""5-(3-chloro-2-hydroxyphenyl)-6-hydroxy-3-cyclohexen-1-one"", ""5-(5-chloro-2-hydroxyphenyl)-6-hydroxy-3-cyclohexene-1-one"", ""5-chloro-3-(2-chlorophenyl)cyclohexa-3,5-diene-1,2-diol"", ""?"", ""HBr"", ""HCl"", ""HF"", ""NAD(P)+"", ""NAD+"", ""NADP+"", ""NO2"", ""catechol"", ""cis-(2R,3S)-dihydroxy-1-phenylcyclohexa-4,6-diene"", ""cis-2',3'-dihydroxy-1'-(2,5-dichlorophenyl)-cyclohexa-4',6'-diene"", ""cis-2',3'-dihydroxy-1'-(2-chlorophenyl)-cyclohexa-4',6'-diene"", ""cis-2',3'-dihydroxy-1'-(3-chlorophenyl)-cyclohexa-4',6'-diene"", ""cis-2,3-dihydro-2,3-dihydroxy-2'-hydroxy-5'-chlorobiphenyl"", ""cis-3,4-dihydro-3,4-dihydroxy-2,2'-dichlorobiphenyl"", ""cis-3,4-dihydroxy-2,5-dichloro-1-[2',5'-dichlorophenyl]-cyclohexa-1,5-diene"", ""cis-3,4-dihydroxy-2,5-dichloro-1-[2'-chlorophenyl]-cyclohexa-1,5-diene"", ""cis-4,5-dihydro-4,5-dihydroxy-2,3,2',3'-tetrachlorobiphenyl"", ""cis-biphenyl 2,3-dihydrodiol"", ""cis-flavone-2',3'-dihydrodiol"", ""cis-naphthalene 1,2-dihydrodiol"", ""dibenzo-p-dioxine-dihydrodiol"", ""dibenzofuran-1,2-dihydrodiol"", ""dibenzofuran-3,4-dihydrodiol"", ""dihydro-dihydroxy-dibenzofuran"", ""isoflavone-cis-(2'R,3'S)-dihydrodiol"", ""monohydroxydibenzofuran"", ""trihydroxybiphenyl""]",0,0,0
1.14.12.22,"9H-carbazole,NAD(P)H:oxygen oxidoreductase (2,3-hydroxylating)","[""9-fluorenone"", ""9H-carbazole"", ""H+"", ""N-ethylcarbazole"", ""N-methylcarbazole"", ""NAD(P)H"", ""NADH"", ""NADPH"", ""O2"", ""anthracene"", ""biphenyl"", ""carbazole"", ""dibenzo-4-dioxin"", ""dibenzo-p-dioxin"", ""dibenzofuran"", ""dibenzothiophene"", ""fluoranthene"", ""fluorene"", ""more"", ""naphthalene"", ""phenanthrene"", ""phenazine"", ""phenothiazine"", ""phenoxathiin"", ""phenoxazine"", ""pyrene"", ""xanthene""]","[""1,1a-dihydroxy-1-hydrofluoren-9-one"", ""1-naphthol"", ""2'-aminobiphenyl-2,3-diol"", ""2,2',3-trihydroxybiphenyl"", ""2,2',3-trihydroxybiphenyl ether"", ""2,2',3-trihydroxydiphenyl ether"", ""2,2',3-trihydroxydiphenyl sulfide"", ""2,2',3-trihydroxydiphenylmethane"", ""2-hydroxybiphenyl"", ""3-hydroxybiphenyl"", ""9-fluorenol"", ""9-fluorenone"", ""9-hydroxyfluorene"", ""?"", ""H2O"", ""NAD(P)+"", ""NAD+"", ""NADP+"", ""biphenyl dihydrodiol"", ""cis-1,2-dihydroxy-1,2-dihydroanthracene"", ""cis-1,2-dihydroxy-1,2-dihydronaphthalene"", ""cis-2,3-dihydroxy-2,3-dihydrobiphenyl"", ""cis-2,3-dihydroxy-2,3-dihydrofluoranthene"", ""dibenzothiophene 5-oxide"", ""dibenzothiophene sulfoxide"", ""dibenzothiophene-5-oxide"", ""fluorene dihydrodiol"", ""monohydroxyfluoranthene"", ""monohydroxyfluorene"", ""monohydroxyphenanthrene"", ""phenanthrene dihydrodiol""]",0,0,0
1.14.12.24,"2,4-dinitrotoluene,NADH:oxygen oxidoreductase (4,5-hydroxylating, nitrite-releasing)","[""1,2,4-benzenetriol"", ""2,4-dinitrotoluene"", ""2,6-dinitrotoluene"", ""2-amino-3-nitrotoluene"", ""2-amino-5-nitrotoluene"", ""2-amino-6-nitrotoluene"", ""2-methoxyphenol"", ""2-nitrophenol"", ""2-nitrotoluene"", ""3-amino-4-nitrotoluene"", ""3-methyl-4-nitrophenol"", ""3-nitrophenol"", ""3-nitrotoluene"", ""4-amino-2-nitrotoluene"", ""4-amino-3-nitrotoluene"", ""4-methyl-5-nitrocatechol"", ""4-nitrocatechol"", ""4-nitrotoluene"", ""5-amino-2-nitrotoluene"", ""H+"", ""NAD+"", ""NADH"", ""O2"", ""acenaphthene"", ""indan"", ""indene"", ""indole"", ""indoline"", ""m-cresol"", ""m-methoxyphenol"", ""m-nitrophenol"", ""more"", ""naphthalene"", ""nitrite"", ""o-cresol"", ""o-methoxyphenol"", ""o-nitrophenol"", ""phenetole""]","[""(+)-cis-(1R,2S)-dihydroxy-1,2-dihydronaphthalene"", ""(1R,2S)-cis-1,2-dihydroxy-1,2-dihydronaphthalene"", ""(1R,3S)-cis-1,2-dihydro-1,2-dihydroxynaphthalene"", ""1,2-dihydroxyindan"", ""1-acenaphthenol"", ""1-indanol"", ""1-indanone"", ""1-indenol"", ""2,4-dinitrotoluene"", ""2-amino-3-nitrobenzylalcohol"", ""2-amino-4-nitro-3-cresol"", ""2-amino-4-nitro-m-cresol"", ""2-amino-5-nitro-o-cresol"", ""2-amino-5-nitrobenzyl alcohol"", ""2-amino-5-nitrobenzylalcohol"", ""2-hydroxybenzyl alcohol"", ""2-nitrobenzyl alcohol"", ""3-amino-4-nitrobenzyl alcohol"", ""3-amino-4-nitrobenzylalcohol"", ""3-amino-5-nitro-4-cresol"", ""3-amino-5-nitro-p-cresol"", ""3-methyl-4-nitrocatechol"", ""3-nitrobenzyl alcohol"", ""3-nitrocatechol"", ""4-amino-3-nitrobenzylalcohol"", ""4-methyl-5-nitrocatechol"", ""4-methylcatechol"", ""4-nitrobenzyl alcohol"", ""4-nitrocatechol"", ""?"", ""H2O"", ""NAD+"", ""NADH"", ""O2"", ""aminonitrocresol"", ""cis-1,2-dihydroxy-1,2-dihydronaphthalene"", ""indene"", ""indigo"", ""indole"", ""methoxyhydroquinone"", ""methylhydroquinone"", ""nitrite"", ""nitrohydroquinone"", ""phenol""]",0,0,0
1.14.12.3,"benzene,NADH:oxygen oxidoreductase (1,2-hydroxylating)","[""1-methylcyclohexene"", ""2 H+"", ""2 NADH"", ""2 O2"", ""2 cyclohexene"", ""3-methylcyclohexene"", ""H+"", ""NADH"", ""NADPH"", ""O2"", ""[reduced NADPH-hemoprotein reductase]"", ""benzene"", ""ethylbenzene"", ""toluene"", ""trifluoromethylbenzene""]","[""(1R,2S)-cis-cyclohexa-3,5-diene-1,2-diol"", ""1-phenethyl alcohol"", ""2 NAD+"", ""2-cyclohexen-1-ol"", ""?"", ""H2O"", ""NAD+"", ""NADP+"", ""[oxidized NADPH-hemoprotein reductase]"", ""cis-1,2-cyclohexanediol"", ""cis-2,3-dihydroxy-1-ethyl-cyclohexa-4,6-diene"", ""cis-2,3-dihydroxy-1-methyl-cyclohexa-4,6-diene"", ""cis-cyclohexa-3,5-diene-1,2-diol""]",0,0,0
1.14.12.7,"phthalate,NADH:oxygen oxidoreductase (4,5-hydroxylating)","[""2,3-dicarboxypyridine"", ""4-chloro-o-phthalate"", ""ATP"", ""H+"", ""NADH"", ""O2"", ""benzylbutylphthalate"", ""bis(2-ethylhexyl)isophthalate"", ""di(2-ethylhexyl)phthalate"", ""di-n-octylphthalate"", ""diamylphthalate"", ""dibutylphthalate"", ""dicyclohexylphthalate"", ""diethylphthalate"", ""diethylterephthalate"", ""dihexylphthalate"", ""diisobutyl phthalate"", ""diisodecylphthalate"", ""dimethylphthalate"", ""diphenylphthalate"", ""dipropylphthalate"", ""ditridecylphthalate"", ""luciferin"", ""more"", ""phthalate""]","[""4-chloro-cis-4,5-dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate"", ""5,6-dihydroxy-5,6-dihydropyridine-2,3-dicarboxylate"", ""?"", ""AMP"", ""CO2"", ""H2O"", ""NAD+"", ""cis-4,5-dihydro-4,5-dihydroxyphthalate"", ""cis-4,5-dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate"", ""light"", ""oxyluciferin""]",0,0,0
1.14.12.8,"4-sulfobenzoate,NADH:oxygen oxidoreductase (3,4-hydroxylating, sulfite-forming)","[""4-sulfobenzoate"", ""4-toluenesulfonate"", ""NADH"", ""O2"", ""more""]","[""3,4-dihydroxybenzoate"", ""?"", ""NAD+"", ""sulfite""]",0,0,0
1.14.12.9,"4-chlorophenylacetate,NADH:oxygen oxidoreductase (3,4-hydroxylating, dechlorinating)","[""3-chlorophenylacetate"", ""4-bromophenylacetate"", ""4-chlorophenylacetate"", ""4-fluorophenylacetate"", ""4-hydroxyphenylacetate"", ""H2O"", ""NADH"", ""O2"", ""more"", ""phenylacetate""]","[""3,4-dihydroxyphenylacetate"", ""?"", ""Br-"", ""Cl-"", ""F-"", ""NAD(P)+"", ""NAD+"", ""OH-""]",0,0,0
1.14.13.1,"salicylate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)","[""1-hydroxy-2-naphthoate"", ""2 H+"", ""2,3-dihydroxybenzoate"", ""2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexaazaisowurzitane"", ""2,4-dihydroxybenzoate"", ""2,5-dihydroxybenzoate"", ""2,5-dihydroxybenzoic acid"", ""2,6-dihydroxybenzoate"", ""2-hydroxy-1-naphthoate"", ""3,5-dinitrosalicylate"", ""3-aminosalicylate"", ""3-chlorosalicylate"", ""3-methylsalicylate"", ""4-(3-benzothiazol-2-yl-4-cyano-2-oxo-2H-chromen-7-yloxymethyl)-2-hydroxy-benzoic acid"", ""4-aminosalicylate"", ""4-chlorosalicylate"", ""4-methylsalicylate"", ""5-aminosalicylate"", ""5-chlorosalicylate"", ""5-fluorosalicylate"", ""5-hydroxysalicylate"", ""5-methoxysalicylate"", ""5-methylsalicylate"", ""5-nitrosalicylate"", ""H+"", ""NAD(P)H"", ""NADH"", ""NADPH"", ""O2"", ""anthranilate"", ""aspirin"", ""gentisate"", ""m-hydroxybenzoate"", ""more"", ""o-iodophenol"", ""o-nitrophenol"", ""p-aminosalicylate"", ""salicylaldehyde"", ""salicylate"", ""sulfosalicylate""]","[""1,2,3-trihydroxybenzene"", ""1,2,4-trihydroxybenzene"", ""1,2-dihydroxy-3-methylbenzene"", ""1,2-dihydroxy-4-aminobenzene"", ""1,2-dihydroxy-4-chlorobenzene"", ""1,2-dihydroxy-4-methylbenzene"", ""1,2-dihydroxy-5-chlorobenzene"", ""1,2-dihydroxy-5-fluorobenzene"", ""1,2-dihydroxy-5-methoxybenzene"", ""1,2-dihydroxy-5-methylbenzene"", ""1,2-dihydroxynaphthalene"", ""1,3-dihydroxybenzene"", ""2,5-dihydroxyphenol"", ""2-aminophenol"", ""3-aminobenzene-1,2-diol"", ""3-chlorobenzene-1,2-diol"", ""3-chlorocatechol"", ""3-methylbenzene-1,2-diol"", ""3-methylcatechol"", ""4-aminobenzene-1,2-diol"", ""4-aminocatechol"", ""4-chlorobenzene-1,2-diol"", ""4-chlorocatechol"", ""4-methylbenzene-1,2-diol"", ""4-methylcatechol"", ""4-nitrocatechol"", ""5-aminobenzene-1,2-diol"", ""5-aminocatechol"", ""5-chlorobenzene-1,2-diol"", ""5-chlorocatechol"", ""5-methylbenzene-1,2-diol"", ""5-methylcatechol"", ""?"", ""CO2"", ""H2O"", ""N2O"", ""NAD(P)+"", ""NAD+"", ""NADP+"", ""NH4+"", ""NO2-"", ""O2"", ""benzene-1,2,4-triol"", ""benzene-1,2,5-triol"", ""catechol"", ""formate"", ""iodide"", ""nitrite"", ""pyrogallol""]",0,0,0
1.14.13.10,"2,6-dihydroxypyridine,NADH:oxygen oxidoreductase (3-hydroxylating)","[""2,6-dihydroxypyridine"", ""NADH"", ""O2"", ""electron acceptor"", ""more""]","[""2,3,6-trihydroxypyridine"", ""?"", ""H2O"", ""NAD+"", ""reduced electron acceptor""]",0,0,0
1.14.13.101,"senecionine,NADPH:oxygen oxidoreductase (N-oxide-forming)","[""H+"", ""NADPH"", ""O2"", ""atropine"", ""axillaridine"", ""axillarine"", ""cysteamine"", ""heliotrine"", ""indicine"", ""lycopsamine"", ""monocrotaline"", ""more"", ""nicotine"", ""phalaenopsine"", ""retronecine"", ""retrorsine"", ""rinderine"", ""sarracine"", ""senecionine"", ""seneciphylline"", ""senecivernine"", ""triangularine""]","[""?"", ""H2O"", ""NADP+"", ""atropine N-oxide"", ""axillaridine N-oxide"", ""axillarine N-oxide"", ""cysteamine N-oxide"", ""heliotrine N-oxide"", ""indicine N-oxide"", ""lycopsamine N-oxide"", ""monocrotaline N-oxide"", ""nicotine N-oxide"", ""phalaenopsine N-oxide"", ""retronecine N-oxide"", ""retrorsine N-oxide"", ""rinderine N-oxide"", ""sarracine N-oxide"", ""senecionine N-oxide"", ""seneciphylline N-oxide"", ""senecivernine N-oxide"", ""triangularine N-oxide""]",0,0,0
1.14.13.105,"(-)-menthone,NADPH:oxygen oxidoreductase","[""(1R)-pulegone"", ""(1R,4R)-dihydrocarvone"", ""(1R,4S)-1-hydroxy-2-oxolimonene"", ""(1R,4S)-menthone"", ""(1S)-pulegone"", ""(1S,4R)-1-hydroxy-2-oxolimonene"", ""(1S,4R)-dihydrocarvone"", ""(1S,4R)-menthone"", ""(1S,4R)iso-dihydrocarvone"", ""(4S)-carvone"", ""1,2-cyclohexanedione"", ""1,4-cyclohexanedione"", ""2,2-dimethylcyclohexanone"", ""2,6-dimethylcyclohexanone"", ""2-allylcyclohexanone"", ""2-chlorocyclohexanone"", ""2-methoxycyclohexanone"", ""2-methylcyclohexanone"", ""2-phenylcyclohexanone"", ""3-methylcyclohexanone"", ""4-methylcyclohexanone"", ""8-mercaptomenthone"", ""H+"", ""NADPH"", ""O2"", ""cycloheptanone"", ""cyclohexanone"", ""cyclopentanone"", ""dihydrocarvone"", ""more"", ""norcamphor""]","[""(3R)-3-isopropenyl-6-oxoheptanoate"", ""(3S)-3-isopropenyl-6-oxoheptanoate"", ""(3S,4R)-6-isopropenyl-3-methyl-2-oxo-oxepanone"", ""(4R,7R)-4-isopropenyl-7-methyl-2-oxo-oxepanone"", ""(4R,7S)-7-isopropyl-4-methyl-2-oxo-oxepanone"", ""(4S,7R)-7-isopropyl-4-methyl-2-oxo-oxepanone"", ""3-isopropenyl-6-oxoheptanoate"", ""4-isopropenyl-7-methyl-2-oxo-oxepanone"", ""?"", ""H2O"", ""NADP+""]",0,0,0
1.14.13.107,"limonene,NAD(P)H:oxygen oxidoreductase","[""(4R)-limonene"", ""(4S)-limonene"", ""H+"", ""NADH"", ""O2"", ""more""]","[""1,2-epoxymenth-8-ene"", ""?"", ""H2O"", ""NAD+""]",0,0,0
1.14.13.114,"6-hydroxynicotinate,NADH:oxygen oxidoreductase (3-hydroxylating, decarboxylating)","[""4-hydroxybenzoate"", ""6-hydroxynicotinate"", ""H+"", ""NADH"", ""O2"", ""more""]","[""2,5-dihydroxypyridine"", ""?"", ""CO2"", ""H2O"", ""NAD+"", ""hydroquinone""]",0,0,0
1.14.13.127,"3-(3-hydroxyphenyl)propanoate,NADH:oxygen oxidoreductase (2-hydroxylating)","[""3-(3-hydroxyphenyl)propanoate"", ""H+"", ""NADH"", ""O2"", ""more""]","[""3-(2,3-dihydroxyphenyl)propanoate"", ""?"", ""H2O"", ""NAD+""]",0,0,0
1.14.13.130,"pyrrole-2-carboxylate,NADH:oxygen oxidoreductase (5-hydroxylating)","[""H+"", ""NADH"", ""O2"", ""more"", ""pyrrole-2-carboxylate""]","[""5-hydroxypyrrole-2-carboxylate"", ""?"", ""H2O"", ""NAD+""]",0,0,0
1.14.13.131,"dimethyl sulfide,NADH:oxygen oxidoreductase","[""1,1-dichloro-1-propene"", ""1,1-dichloroethylene"", ""1,3-dichloro-1-propene"", ""1-butene"", ""2,3-dichloro-1-propene"", ""3,4-dichloro-1-butene"", ""H+"", ""NADH"", ""O2"", ""cis-1,2-dichloroethylene"", ""cis-1,4-dichloro-2-butene"", ""cis-2,3-butene"", ""cis-dichloroethylene"", ""diethyl sulfide"", ""dimethyl sulfide"", ""ethylmethyl sulfide"", ""isobutene"", ""more"", ""propene"", ""propylmethyl sulfide"", ""trans-1,2-dichloroethylene"", ""trans-1,4-dichloro-2-butene"", ""trans-dichloroethylene"", ""trichloroethylene""]","[""1,2-butylene oxide"", ""2,3-butylene oxide"", ""2,3-dichlorooxirane"", ""3,4-dichloro-1,2-butylene oxide"", ""?"", ""H2O"", ""NAD+"", ""acetaldehyde"", ""cis-1,2-dichlorooxirane"", ""cis-1,4-dichloro-2,3-butylene oxide"", ""cis-dichlorooxirane"", ""ethanethiol"", ""formaldehyde"", ""isobutylene oxide"", ""methanethiol"", ""propylene oxide"", ""trans-1,4-dichloro-2,3-butylene oxide"", ""trans-dichlorooxirane""]",0,0,0
1.14.13.135,"1-hydroxy-2-naphthoate,NAD(P)H:oxygen oxidoreductase (2-hydroxylating, decarboxylating)","[""1-hydroxy-2-naphthoate"", ""NAD(P)H"", ""NADH"", ""NADPH"", ""O2"", ""more""]","[""1,2-dihydroxynaphthalene"", ""?"", ""CO2"", ""H2O"", ""NAD(P)+"", ""NAD+"", ""NADP+""]",0,0,0
1.14.13.149,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","[""H+"", ""NADPH"", ""O2"", ""epoxyphenylacetyl-CoA"", ""more"", ""phenylacetyl-CoA""]","[""2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA"", ""?"", ""H2O"", ""NADP+""]",0,0,0
1.14.13.153,"(+)-sabinene,NADPH:oxygen oxidoreductase (3-hydroxylating)","[""(+)-sabinene"", ""H+"", ""NADPH"", ""O2""]","[""(+)-cis-sabinol"", ""H2O"", ""NADP+""]",0,0,0
